set,training,validation,test
fold1,0.9,0.87,0.89
fold2,0.92,0.78,0.82
fold3,0.88,0.83,0.79
fold4,0.9,0.81,0.81
fold5,0.89,0.82,0.87
fold6,0.91,0.78,0.87
fold7,0.91,0.84,0.84
fold8,0.88,0.81,0.84
fold9,0.9,0.85,0.78
fold10,0.91,0.82,0.87
ave.,0.9,0.82,0.84
