set,training,test
fold1,0.79,0.64
fold2,0.79,0.66
fold3,0.79,0.65
fold4,0.79,0.65
fold5,0.8,0.64
fold6,0.8,0.5ch
fold7,0.78,0.66
fold8,0.79,0.66
fold9,0.79,0.66
fold10,0.79,0.66
ave.,0.79,0.64
