set,training,test
fold1,0.66,0
fold2,0.65,0
fold3,0.65,0
fold4,0.65,0
fold5,0.66,0
fold6,0.66,0
fold7,0.66,0
fold8,0.65,0
fold9,0.65,0
fold10,0.65,0
ave.,0.65,0
