set,training,validation,test
fold1,0.7,0.64,0.66
fold2,0.69,0.71,0.71
fold3,0.69,0.72,0.69
fold4,0.69,0.66,0.71
fold5,0.7,0.68,0.65
fold6,0.69,0.67,0.7
fold7,0.69,0.73,0.69
fold8,0.69,0.69,0.68
fold9,0.69,0.72,0.64
fold10,0.7,0.63,0.7
ave.,0.69,0.69,0.68
